 Naperville Lancaster Killeen Ocala New_London Frederick Santa_Ana Temecula Oceanside Santa_Maria Mobile Aurora Huntsville Denver Concord Henderson San_Jose Port_Arthur Orem Pueblo Rancho_Cucamonga Springfield Beaumont Kissimmee Odessa Cedar_Rapids Mission_Viejo Clearwater Davenport Austin Punta_Gorda Victorville Overland_Park Naples Trenton Plano Havre_de_Grace Davidson_County Tyler El_Paso
Castille_Beaujour 3 1 37 39 28 7 30 36 16 19 38 21 10 24 40 22 33 31 26 23 15 18 9 35 14 27 12 8 25 13 2 29 32 11 17 34 4 20 5 6
Belinda_Scotto 8 3 27 10 9 16 32 39 29 28 38 24 37 13 31 30 12 35 2 21 34 18 22 4 5 17 20 40 15 36 14 25 7 11 19 23 26 6 1 33
Elma_Belorgey 22 37 8 5 26 12 30 24 31 10 11 2 23 40 39 28 33 35 3 36 38 15 14 20 25 1 17 9 13 6 7 34 16 4 29 21 27 19 32 18
Taylor_Liogier 28 2 19 27 32 8 31 38 1 24 10 14 21 23 35 26 12 11 16 34 9 15 30 37 5 36 39 33 18 3 13 17 40 22 7 29 6 20 25 4
Lambert_Le_Provost 38 23 18 22 7 34 8 13 3 19 2 28 17 1 14 10 31 12 20 37 6 26 40 16 39 5 9 11 15 21 29 27 24 36 25 35 33 32 4 30
Jean-Francis_Beduneau 12 31 29 39 40 7 4 6 18 34 9 23 17 1 24 20 14 11 28 32 19 36 13 35 25 27 2 16 38 3 26 8 37 21 22 5 10 15 33 30
Ezechiel_Depoilly 32 37 3 2 30 12 4 6 22 8 33 7 23 27 40 16 19 13 10 14 18 9 17 31 35 5 38 25 20 21 15 11 1 24 28 34 26 36 39 29
Marc-Antoine_Meckes 8 14 4 12 25 7 18 29 34 15 1 10 23 3 9 20 38 6 17 36 22 35 37 39 31 13 16 33 26 32 21 11 5 27 30 2 40 24 28 19
Myriane_Oudard 30 11 23 22 10 25 19 9 2 21 4 39 13 38 18 29 31 12 15 16 14 33 36 7 37 6 8 40 1 35 27 5 3 32 17 28 24 20 26 34
Giuseppe_Croizer 15 2 22 11 4 18 1 20 36 39 7 31 29 23 38 28 25 21 40 17 3 32 24 6 16 5 27 37 12 35 33 19 9 30 8 13 26 14 34 10
Aidan_Mihoubi 15 36 14 33 28 17 35 7 29 3 13 31 25 32 8 4 27 38 5 39 20 2 10 37 24 21 11 9 19 16 18 1 12 40 34 23 26 22 30 6
Zita_Housseau 2 21 24 25 18 37 31 12 22 26 39 30 35 17 10 1 11 16 4 34 38 32 33 8 15 9 36 19 13 27 20 7 5 6 28 14 29 40 23 3
Adelin_Hauser 36 5 3 8 7 37 40 27 11 35 30 24 14 26 23 18 16 38 22 12 4 39 29 2 28 25 21 13 17 15 34 1 6 32 19 20 33 31 10 9
Shelly_Baris 13 22 39 24 40 7 34 20 35 38 26 32 1 37 6 8 27 11 18 31 17 33 3 21 14 10 9 25 2 29 16 5 4 28 23 30 36 15 19 12
Christèle_Legault 32 11 18 2 6 20 4 19 39 25 10 35 31 24 5 16 17 9 1 28 40 23 13 34 30 14 33 27 36 22 7 37 8 29 12 15 3 26 21 38
Graziella_Capoulade 14 34 29 28 19 9 16 5 15 31 6 20 13 32 25 10 22 18 39 8 37 38 12 26 24 23 4 3 40 17 11 35 2 30 21 27 1 33 7 36
Noura_Caillon 34 38 31 3 18 8 29 1 23 28 19 9 35 4 15 14 30 37 5 10 40 32 17 27 2 6 21 22 25 13 12 16 11 39 20 36 24 33 7 26
Annik_Despierres 39 29 31 16 14 11 5 37 23 4 20 7 2 32 34 33 8 3 26 17 19 12 9 1 18 15 6 24 10 40 27 22 28 36 25 35 38 21 30 13
Marguerite_Verez 7 10 12 20 4 1 29 9 19 26 2 11 37 13 35 39 38 36 6 3 27 8 25 17 24 18 40 15 32 30 34 5 28 23 16 22 31 21 14 33
Céleste_Coulais 8 13 21 22 2 38 12 35 11 20 17 29 7 33 26 36 5 3 16 15 40 19 18 39 30 14 23 24 6 31 27 9 1 37 28 32 4 10 25 34
Eslem_Coulaud 36 18 19 6 34 22 38 33 13 8 1 9 10 7 17 21 28 35 12 31 30 3 37 23 16 15 4 11 40 32 5 25 2 27 14 39 24 20 29 26
